video_id,final_classification,features,username,description,music_id
7296749997389843720,Hamas,"Other, Hearts in the organization's color, Tagged terrorist songs",ahmadghannam183,#CapCut #สปีดสโลว์ #الضيف💚 #جبعاوي🔱🥷🏿 ,7296750019763145473
7296914460067761410,Fatah,"Other, Images of leaders",aboammar519,,7296914510278036226
7296964408738106632,Unaffiliated,,sho.0kk,"إن الحَياة قّصيرةٌ 💔.

.

.

.
#اكسبلور #explore #fyp #fypシ #foryou #nablus #ramallah #غزة_تحت_القصف #نابلس #فمتى_يكون_لقائنا ",7296964449897188098
7298430261077855506,Fatah,Images of leaders,nbnmntgvbf1234567,,7298430312357759746
7298844971065445665,Unaffiliated,,jamnazzal,جمال نزال#middleeast #Nahost #palästina #غزة,7298845066815097633
7299766556240743682,Fatah,Images of leaders,abood._417,#طولكرم_فلسطين_سلفيت_نابلس_جنين #اريحا_الخليل_بيت_لحم_يافا_حيفا_عكا #ياسر_عرفات_ابو_عمار #fyp ,7250927040110267138
7299795074202799361,Unaffiliated,,yousefzaatre1,#صلوا_على_رسول_الله #لقدس_لنا🇵🇸🕌والارض_لنا⚔️ #الأقصى_في_قلوبنا❤🇵🇸 #شهيد ,7296966564149594885
7299796020819414280,Unaffiliated,,ahmad7kl,#الله #اكبر_ ,7299796044043324161
7299898497153666306,Unaffiliated,,fayhaasalman,#speedsongs #xuhuongtiktok #viral #explore #fypシ ,7290835308122671877
7299899452855274754,Unaffiliated,,a92a_a,في نون عيني بارق الوسم لايح #fyp #foryou #SHEINeidfun #جدة ,7294689908567493377
7299906068828753154,Unaffiliated,,fayhaasalman,#cupcut #xuhuongtiktok #foryoupage #explore ,7282081892118465286
7300126991624178951,Fatah,Images of leaders,nbnmntgvbf1234567,,7300127018174221058
7300326266941476098,Unaffiliated,,yousefzaatre1,#CapCut#لقدس_لنا🇵🇸🕌والارض_لنا⚔️ #الأقصى_في_قلوبنا❤🇵🇸 #شهيد ,7096943282969791238
7300935086898253064,Unaffiliated,,aaup04,"امريكيتنا🤍❤️
#cupcut #الجامعة_العربية_الامريكية #ريحان #رام_الله #طلاب #تيمار #كونت #وائل #ام #عمر #اغنيه_تركيه #لقد #يار #بس #CapCut ",7297573885436332805
7301258837783268626,Unaffiliated,,aaup04,بحب جامعتنا 🤍🥲.   #الجامعه #الامريكيه #الجامعة_العربية_الامريكية #رام_الله #جامعه #عنان_بركات #ريحان #وائل_تيمار #رام_الله #CapCut #مرهق #معقدين🤦🏻‍♂️🙂 #like ,7236667811664300801
7301744598530002177,Unaffiliated,,iits._.ramy,بدري يغالي #ليث_نصاصره #بيت_فوريك #نابلس ,7301744650891692801
7302124182018575634,Unaffiliated,,aaup04,اهم اشي النفسية😇😂#الجامعة_العربية_الامريكية #الجامعه #وشكرا❤️🌹 #عنان_بركات #fyp #fypシ #تررن #انالله_وانااليه_راجعون #نحلي #انروح #رسوب #امتخانات #امتخان #رام_الله #انا_رايح_فين #CapCut #حياه_صعبه #معقدين🤦🏻‍♂️🙂 ,7302124218706496257
7302134152227228930,Unaffiliated,,saradaabes271,🙏🏼🤍#pharmacystudent #pharmacology #جامعة_القدس_ابو_ديس #صيدلة #explore #fypシ #جنين_نابلس_طولكرم_رام_الله_فلسطين_48 #اكسبلور ,7302134212085205761
7302388047784578312,Unaffiliated,,aaup04,اهم اشي الأخلاق وشرف المحاولة😌😂😂#😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 #كلو #بالانجليزي #فادي #ديالا #دراسه #fyp #fypシ #الجامعه #وشكرا❤️🌹 #الجامعة_العربية_الامريكية #الجامعة_العربية_الامريكية #الجامعه #الجامعة_العربية_الامريكية #عنان_بركات #انالله_وانااليه_راجعون #رسوب #رام_الله #معقدين🤦🏻‍♂️🙂 #just #justforfun #حسبي_الله ,7298062100491225858
7302740748640767250,Unaffiliated,,aaup04,بتضل امريكيتنا التوب😇😂😂😂😂#😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 #بالانجليزي #fypシ #fyp #الجامعة_العربية_الامريكية #الجامعة_العربية_الامريكية #وشكرا❤️🌹 #معقدين🤦🏻‍♂️🙂 #رام_الله #معقدين🤦🏻‍♂️🙂 #just #justforfun #اشتقت #جابني_الشوق #ترند #ايواااا ,7302740772879600385
7303201977482235143,Unaffiliated,,bassamkh25,,7303202005660797698
7303483508930972936,Unaffiliated,,bassamkh25,,7303483589709351682
7303484673685130503,Unaffiliated,,aaup04,بتمنى ترجع امريكيتنا الي تعودنا عليها 😂😂#بالانجليزي #fyp #fypシ #الجامعة_العربية_الامريكية #الجامعة_العربية_الامريكية #الجامعة_العربية_الامريكية #معقدين🤦🏻‍♂️🙂 #معقدين🤦🏻‍♂️🙂 #وشكرا❤️🌹 #لحظه #ادراك #ترند #جابني_الشوق #اشتقت #just #justforfun #مطر #شتاء #برد_الشتاء #الجامعة_العربية_الامريكية ,7303484715527342849
7303496118564932882,Unaffiliated,,ahmad7kl,#الله #🦅🥷 ,7303496152949787394
7303575052879006983,Unaffiliated,,aaup04,فما بالكم اذا اخدناهم ب٨سنين🤔😂😂#مطول #مطول_تا_تيجي #fyp #fypシ #fyp #fyp #الجامعة_العربية_الامريكية #الجامعة_العربية_الامريكية #الجامعة_العربية_الامريكية #معقدين🤦🏻‍♂️🙂 #لحظه #ترند #رام_الله #رام_الله #justforfun #just #ترند #شتاء #مطر #فاتيما #اكسبلورexplore #اهااا #طلاب_الجامعات #الجامعة_العربية_الامريكية ,7303575081090583297
7303874034813373714,Unaffiliated,,aaup04,احنا بنشوف اشي انتوا ما بتشوفوا😂😂😂#فيصل #القريه #تراب #اناشوف #fyp #fypシ #الجامعة_العربية_الامريكية #الجامعة_العربية_الامريكية #الجامعة_العربية_الامريكية #معقدين🤦🏻‍♂️🙂 #معقدين🤦🏻‍♂️🙂 #ترند #justforfun #just #طلاب_الجامعات #مطر #شتاء #وشكرا❤️🌹 #لحظه #اكسبلورexplore #الجامعة_العربية_الامريكية #معقدين🤦🏻‍♂️🙂 ,7303874053197155074
7303918974675307783,Unaffiliated,,awwwa57,,7303919006610639617
7304196589789154568,Unaffiliated,,aaup04,يسعد صباحكم من امريكيتنا🫡#صباح_الخير #صبااااحو #الركب #المفاصل #المفاصل_الروماتيزم_الظهر_العظام #aaup #aaup #aaup #fyp #fypシ #الجامعة_العربية_الامريكية #الجامعة_العربية_الامريكية #الجامعة_العربية_الامريكية #معقدين🤦🏻‍♂️🙂 #معقدين🤦🏻‍♂️🙂 #justforfun#justforfun #طلاب_الجامعات #رام_الله #اكسبلورexplore #ترند #الجامعة_العربية_الامريكية ,7304196617971059458
7304284720303541522,Unaffiliated,,bassamkh25,,7304284760350903041
7304652618863742241,Unaffiliated,,jamnazzal,#duet with @emro mo #freepalestine🇵🇸❤️ #birth tour #israel #PALESTINE #middleeast #genocide #Nahost ,7300362058908945194
7305197863057902866,Unaffiliated,,yazan_x.xp_,اخوي #فلسطين🇵🇸 ,7170362944625068801
7306192616608107794,Unaffiliated,,aaup04,امريكيتنا الي ما بترحم بس بنحبها😂🫠🫠#اناااااااااا #مضغوطه_من_الدراسه #مضغوطه👌🏻🤩🔥 #دراسه_اونلاين #دراسه #امتحانات #كويز #اسايمينت #aaup #فادي #ديالا #مالي_خلق_احط_هاشتاقات #مستمتع_حتى_وانا_broke #aaup #fyp #معقدين🤦🏻‍♂️🙂 #fypシ #fyp #fypシ #aaup #معقدين🤦🏻‍♂️🙂 #معقدين🤦🏻‍♂️🙂 #رام_الله #رام_الله #اكسبلورexplore #اكسبلورexplore #اكسبلورexplore #ضميري_الدراسي #الجامعة_العربية_الامريكية #الجامعة_العربية_الامريكية #الجامعه_الامريكيه_جنين #الجامعه_العربيه_الامريكيه #امريكيه🕊 #justforfun #يسعد #يسعد_مساكم ,7243789482540223234
7306256141317573890,Unaffiliated,,yousefzaatre1,#شهيد ,7270464614193335046
7306303670826568992,Unaffiliated,,jamnazzal,#duet with @emro mo #freepalestine🇵🇸❤️ ,7300376531393891118
7306405059288435976,Unaffiliated,,aaup04,امريكيتنا قادره اتحسن اسوء نفسيه❤️‍🩹😂#goodthing #goodvibes #goodmorning #اناااااااااا #انت #مين #aaup #fyp #aaup #fypシ #fypシ #معقدين🤦🏻‍♂️🙂 #معقدين🤦🏻‍♂️🙂 #معقدين🤦🏻‍♂️🙂 #اكسبلورexplore #اكسبلورexplore #الجامعة_العربية_الامريكية #الجامعة_العربية_الامريكية #الجامعة_العربية_الامريكية #اكسبلورexplore #الجامعة_العربية_الامريكية #اسايمينت #aaup #مستمتع_حتى_وانا_broke ,7306405087882005249
7306508717854412065,Unaffiliated,,jamnazzal,#duet with @𝐌𝐚𝐂𝐡é𝐫𝐢𝐞𝐁𝐫𝐢𝐧𝐚🍒 #fyp ,7305356463760689952
7306581397618183426,Unaffiliated,,yousefzaatre1,#شهيد ,7270464614193335046
7306908795249134855,Unaffiliated,,aaup04,اصعب لحظه بعد ما الدكتور يلغى محاضره ال٨ بعد ما نوصل 🫣😂#امريكا #امريكيات #يادكتور #ميصحش_كده #fypシ #fypシ #fyp #fyp #معقدين🤦🏻‍♂️🙂 #معقدين🤦🏻‍♂️🙂 #معقدين🤦🏻‍♂️🙂 #aaup #aaup #رام_الله #رام_الله #foryoupage #foryou #اكسبلورexplore #اكسبلورexplore #يعسد_اوقاتكم ,7304407041606535941
7306959435094707458,Unaffiliated,,aya.odeh7,#capcut #رام_الله ,7175433334120827694
7306972301130468616,Unaffiliated,,bassamkh25,,7306972348752956162
7307125658700795137,Unaffiliated,,asool_.0,#CapCut #💔 #اكسبلور ,7306428347827096326
7307291589099982112,Unaffiliated,,jamnazzal,#duet with @lifeiswaycool #dontgiveup💪🙏🤩 #freepalestina #freepalestine ,7306563531594418987
7307301341385248018,Unaffiliated,,.3mr_2005,#فلسطين #المصايف💚✌️ #كتسار #جنين #الشعب_الصيني_ماله_حل😂😂 #viral #البيرة #lxi ,7286881224751450881
7307639238219091207,Unaffiliated,,aaup04,حياتنا مع امروكة عباره عن چروبات😂#جروبات_واتس #جروب #group #😂💔👌🏻 #fypシ #fyp #معقدين🤦🏻‍♂️🙂 #aaup #رام_الله #اكسبلورexplore #foryoupage #اكسبلورexplore #foryoupage #foryou #الجامعة_العربية_الامريكية #الجامعة_العربية_الامريكية #ramallah_city #tiktok #trending #trend ,7307639270007655169
7307646116131015954,Unaffiliated,,user9032836034075,,7307646141997910786
7307680727007563016,Unaffiliated,,.3mr_2005,#البيرة #viral #كتسار #جنين #المصايف💚✌️ #فلسطين #foryou ,7262401452633508609
7307687314728209671,Unaffiliated,,yazan_784,#pov #طلعو ترند_اكسبلورر #نابلس_رامالله_جنين_اريحا_الخليل_بيت_لحم #بشرفكم_متابعه_وقلب😂💚 #قلقيلية_الشامخة🦅👑 #ليك______🖤___متابعه____اكسبلووور #زبطوه🖤 #جنين_نابلس_طولكرم_رام_الله_فلسطين ,7293451805412739846
7307916552458833160,Unaffiliated,,bassamkh25,,6892776473682332417
7308016410310020370,Unaffiliated,,.3mr_2005,#فلسطين #foryou #المصايف💚✌️ #جنين #كتسار #viral #لا_سمح_الله #غزة #يارب ,7301826788787292929
7308828589963758856,Unaffiliated,,aaup04,اختلاف أهداف مش اكثر😂😂😂😂#😂😂😂😂😂 #اهداف #اختلاف_ثقافات #احاااااا #اهاااا #دفعهة #جامعه #الامريكية #foryoupage #aaup #fyp #fypシ #رام_الله #الجامعة_العربية_الامريكية #الجامعة_العربية_الامريكية #ramallah_city #trending #trend #معقدين🤦🏻‍♂️🙂 #اكسبلورexplore #تيك_توك #tiktok ,7308828634482019073
7308838289371335943,Unaffiliated,,ahmadghannam183,#WheneverWherever #สปีดสโลว์ #สโลว์สมูท #جبعاوي🔱🥷🏿 ,7308838329980668673
7309063958185479431,Unaffiliated,,aaup04,لو سمحتوا بدنا انركز على  دراستنا 💅برضو احنا بعد اي امتحان:::أمريكيتنا🤍#كوميدي #روا #روان #ملكة #النظافة #صقطنا #رسبنا #للاسف #يا #متابعي #foryoupage #الامريكية #رام_الله #fyp #fypシ #الجامعة_العربية_الامريكية #trending #ramallah_city #trend #معقدين🤦🏻‍♂️🙂 #😂😂😂😂😂 #اكسبلورexplore #tiktok ,7309063981758499586
7309158796104912135,Unaffiliated,,aaup04,معكم بالترند مش اكثر 😂😂على كل حال بزعلكم العام وبتراضيكم امريكيتنا😂😂🤍#كوميدي #بتمزحووووو #داي #ترند #للاسف #الجامعة_العربية_الامريكية #foryoupage #رام_الله #fypシ #fyp ,7309158828958944001
7309406284959272200,Unaffiliated,,ahmad7kl,#الزعيمة🖤⚔️ #🦅🥷 ,7309406302277602049
7309850258488495393,Unaffiliated,,jamnazzal,#duet with @Mandella ,7309786069002668832
7310176524945181953,Unaffiliated,,lavihalayqa,,7310176559707605762
7310176536102030594,Fatah,Images of leaders,aboammar519,#CapCut ,7310176580939369218
7310204608280825106,Unaffiliated,,aaup04,كلها اربع سنين وبتعدي 🫠🫠(شكلوا احنا الي رح انعدي)#يوميات #حياتيtf #عذاب #عبارة #الجمعه_الصلاة_على_النبي_سورة_الكهف #الجامعه_العربيه_الامريكيه #الجامعه #comedia #trending #funny #aaup #fyp #رام_الله #fypシ #unversity #foryoupage #طقطق ,7310204642096597761
7310366695682493728,Unaffiliated,,jamnazzal,‏ما مشكلة إسرائيل مع بقاء السلطة الوطنية الفلسطينية وما هو السر وراء الدعوات الأمريكية اتجاه تغيير هوية السلطة الوطنية وبرنامجها؟#السلطة_الفلسطينية #freepalestine🇵🇸❤️f #جمال نزال,7310366765981993761
7310583036431682823,Unaffiliated,,aaup04,صبراً جميلاً …أمريكيتنا🤍📍#عيسى #اوغلو #شعوري #ردحححححححح💃💃💃💃 #نوري #كروسان #شوكه #يوميات #الجامعه_العربيه_الامريكيه #comedia #trending #funny #aaup #fyp #رام_الله #unversity #foryoupage #طلاب #مضحك #اوك #tiktok ,7310583076534373121
7310990297717132545,Unaffiliated,,aya.odeh7,#CapCut ,7299577231649590017
7311010463918132487,Unaffiliated,,aaup04,مافي في القلب الا الامريكية🤍📍#شغف #حب #امراض_نفسيه #فيصل #قلب #يزن #الجامعه_العربيه_الامريكيه #مي #comedia #trending #funny #fyp #foryoupage #طلاب #رام_الله #الجامعه_العربيه_الامريكيه #الجامعه_العربيه_الامريكيه #Aaup #tiktok ,7311010487104899842
7311835728957197601,Unaffiliated,,jamnazzal,حديث نتياتياهو عن استبعاد فتح ودعوته لاستهداف الأمن الفلسطيني#السلطة_الفلسطينية #freepalestinaا #حركة فتح#حركةتح #جمال نزال,7311835773785918241
7312367986663230728,Unaffiliated,,omaral_360,#سيرفر_عرب_لايف✌🏻 #foryou #foryourpage #الناصره_الشامخه👑🦅 #פשע @Evil🇵🇸 ,7283954165227031301
7312401211771178241,Unaffiliated,,iits._.ramy,#CapCut ,7310254644073646854
7312490268857584898,Unaffiliated,,iits._.ramy,ليث_باكير #ليث_نصاصرة #بيت_فوريك ,7312490327473883905
7312581931181313313,Unaffiliated,,jamnazzal,‏هل تتسع منظمة التحرير لمنظمات جديدة بعد الحرب؟##freepalestine🇵🇸❤️f##freepalestinaا##فلسطين##جنين#السلطة_الفلسطينية##جمالنزال,7312581996932172576
7313325831852510465,Unaffiliated,,a92a_a,كلنا نعيش نفس الليل، ولكن لكل منا ظلامه.. #fyp #foryou #SHEINeidfun ,7313325952631671554
7314398856853146882,Unaffiliated,,ahmedattar343,,7314398897076570881
7314548965960142098,Unaffiliated,,aaup04,صباح الخير من امريكيتنا🤍📍#يوميات #يووومكم #ما #تخافين #الجامعه_العربيه_الامريكيه #عادي #الجامعه_العربيه_الامريكيه #comedia #trending @#funny #tiktok #foryoupage #fyp #رام_الله #fypシ #justforfun #الجامعه_العربيه_الامريكيه #الجامعه_العربيه_الامريكيه #صباح_الخير #aaup #like #comment ,7314548999347161858
7314560502917516562,Unaffiliated,,yazan_784,#ليك______🖤___متابعه____اكسبلووور #قلقليلة_طوباس_طولكرم_فلسطين_عرب48 #القرعان🖤✌ #نابلس_رامالله_جنين_اريحا_الخليل_بيت_لحم #لزم_يطلع_ترند🦅❤️‍🩹@الجامد 💛✌️ ,7240548163768093442
7314984594388897026,Unaffiliated,,yousefzaatre1,#شهيد #ਿ #ਪ #ਹ #ਾ💏 #ਨ #ੱ #ਾਆ ,7314984648688700161
7315011910796053768,Unaffiliated,,aaup04,يعني ليش؟؟؟بس عادي كله فدا أمريكيتنا🤍📍#عيسى #اوغلو #ليش #العجينه #ترتاح #رسبت_في_التوجيهي #trending #الجامعه_العربيه_الامريكيه #الجامعه_العربيه_الامريكيه #tiktok #fyp #رام_الله #fypシ #aaup ,7315011945566866177
7315509312829377798,Unaffiliated,,lavihalayqa,,7257264353198852865
7315570345568767237,Unaffiliated,,abo_hamza1780,,7296937997232950021
7315744553049312520,Unaffiliated,,.3mr_2005,#كتسار #جنين #المصايف💚✌️ #فلسطين ,7150640063213357825
7315887018544844033,Unaffiliated,,yousefzaatre1,#زعتري #لحمدلله_دائماً_وابداً💚🌧️🤲 #ghk #jfhjdu #jho ,7308108875046767365
7316268064713051394,Unaffiliated,,okm_067,#CapCut ,7308108875046767365
7316291404429413650,Fatah,"Images of leaders, Other",abood._417,#طولكرم_فلسطين_سلفيت_نابلس_جنين #اريحا_الخليل_بيت_لحم_يافا_حيفا_عكا #مروان_البرغوثى #المثلث48 #فتح #ياسر_عرفات ,7306599628195040002
7316503764922354951,Unaffiliated,,aaup04,حد يطلعها من راسي😂😂 أمريكيتنا🤍📍#كافيه #دراسه #كريسماس #عمر #عمركمال_omarkamal #الجامعه_العربيه_الامريكيه #الجامعه_العربيه_الامريكيه #fypシ #fyp #tiktok #aaup #صباح_الخير #تركيز #النشاط_والطاقه_الإيجابيه ,7316503798309292802
7316987310275382536,Unaffiliated,,100rb52.omar,#حزما_القدس_فلسطين #عناتا #الرام #مخيم_شعفاط لطفي🤣😂😂😂😂,7221498079558585093
7317218401074547975,Unaffiliated,,.3mr_2005,شهداء مخيم نور شمس 🥺💔,7246493203687376898
7317375178873359617,Unaffiliated,,serinmanasra,#اريحا_الخليل_بيت_لحم_يافا_حيفا_عكا ,7210481612666964737
7318117846406532360,Unaffiliated,,bassamkh25,,7318117960386972418
7318508833196739848,Unaffiliated,,osamaa_sh1,#اخي_سندي #اخ #CapCutVelocity #اريحا_الخليل_بيت_لحم_يافا_حيفا_عكا✌ #สโลว์สมูท #สปีดสโลว์ #สโลว์สมูท #اكسبلورexplore ,7296966564149594885
7318675672631741703,Unaffiliated,,aaup04,بس عشان نضحك ولا حب امريكيتنا في قلبنا كبير. 🤍📍💔#💔💔💔 #الله #يحرق #الجامعه #اهلي #سألوني #لورنس #المنسي #comment #like #following #٢٠٠٢٤😂🤣 #fypシ #fyp #الجامعه_العربيه_الامريكيه #الجامعه_العربيه_الامريكيه #معقدين🤦🏻‍♂️🙂 #tiktok #aaup #foryoupage #foryou #رام_الله ,7318675726834699009
7318814018930543873,Unaffiliated,,fayhaasalman,"Story of 2023❤️
#CapCut #tiktoklongs #foryou #2023 #viralvideo ",7313982688972163846
7319249946757106946,Unaffiliated,,lavihalayqa,,7319250267180944129
7319254349404704002,Unaffiliated,,okm_067,#CapCut #اكشبلورررررر😂💔 #لايك #جنينيه_يا_خال #اكشبلورررررر😂💔 ,7317033133282183941
7319840547902967041,Hamas,"Hearts in the organization's color, Images of leaders, Other",hamas1987,#غزة_فلسطين ,7301301876111297282
7319890088681524486,Unaffiliated,,_islam634,,7319890114725071621
7320275669940784386,Unaffiliated,,okm_067,#CapCut #جنينيه_يا_خال #اكشبلورررررر😂💔 #ضيفوني ,7304647741894822657
7320715195632930050,Unaffiliated,,zanisa.style,,7316098099965479685
7320752814181944583,Unaffiliated,,ahmedattar343,,7265344957234875141
7321079665534225682,Unaffiliated,,osamaa_sh1,#CapCut #الرمح_الابيض👍🌚👊💪 #سكودا #شكودا #CapCutVelocity #اريحا_الخليل_بيت_لحم_يافا_حيفا_عكا✌ #اكسبلورexplore #CapCut #فلسطين🇵🇸 #مغسلة_الاغوار ,7309477596243249921
7321288228676439303,Unaffiliated,,.3mr_2005,#جنين #مخيم_جنين #فلسطين #شهيد #فقط_في_فلسطين🥺💔 ,7310293362005854977
7321570441192099090,Unaffiliated,,s._i_78,#البكاره_اخوت_ردسه #العكيدات_القحطانيه_الزبيديه #البكاره_اخوت_ردسه #العكيدات_القحطانيه_الزبيديه #عباراتكم_الفخمه📿📌تجبرني_انشرها🖤🙂 ,7309557412627761952
7321851459555970322,Unaffiliated,,s._i_78,#عباراتكم_الفخمه📿📌تجبرني_انشرها🖤🙂 #عباراتكم_الفخمه📿📌تجبرني_انشرها🖤🙂 #البكاره_اخوت_ردسه ,7317775262937123585
7322542453565754632,Unaffiliated,,s._i_78,#عباراتكم_الفخمه📿📌تجبرني_انشرها🖤🙂 #عباراتكم_الفخمه📿📌تجبرني_انشرها🖤🙂 #عباراتكم_الفخمه📿📌تجبرني_انشرها🖤🙂 #عباراتكم_الفخمه📿📌تجبرني_انشرها🖤🙂 #عباراتكم_الفخمه📿📌تجبرني_انشرها🖤🙂 #عباراتكم_الفخمه📿📌تجبرني_انشرها🖤🙂 #عباراتكم_الفخمه📿📌تجبرني_انشرها🖤🙂 #عباراتكم_الفخمه📿📌تجبرني_انشرها🖤🙂 #عباراتكم_الفخمه📿📌تجبرني_انشرها🖤🙂 ,7317775262937123585
7322824483557952770,Unaffiliated,,zanisa.style,#تركيا🇹🇷_جزيرة_فتحية🏝💙 #حركة_الإكسبلور #,7181389856378391297
7322849820446625042,Unaffiliated,,.3mr_2005,,7279718938869926688
7323210750963518722,Hamas,Other,hamas1987,#غزة_فلسطين #غزة ,7323210787957984002
7323644741734714625,Unaffiliated,,yousefzaatre1,#لحمدولله #ددايمن #زعتري #ਿ #ਜਦੋਂ ,7315120859667319553
7323892034337590535,Unaffiliated,,s._i_78,#البكاره_اخوت_ردسه #البكاره_اخوت_ردسه #البكاره_اخوت_ردسه #البكاره_اخوت_ردسه #البكاره_اخوت_ردسه #البكاره_اخوت_ردسه ,7259748903976143622
7324050454801861889,Unaffiliated,,mohammad_akhlayel,🙋🥱❤️,7324050731726555906
7324207816791592210,Unaffiliated,,mhammad._.sh,تقبلكم الله 💔☝️#شهيد #شهداء #القدس #فلسطين #نابلس #رام_الله ,7324207855333018369
7324224346057133320,Unaffiliated,,.3mr_2005,اخوي السند 🖤🦅,7308354851016755974
